date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,7.35,7.46,7.39,7.24,689043.56,-0.01,-0.14,7.31,7.224,7.434,597013.22,592191.32,534832.37,0.69
2021-01-04,7.41,7.48,7.4,7.3,590179.06,-0.09,-1.2,7.258,7.22,7.46,552396.64,604181.52,526286.7,0.59
2020-12-31,7.17,7.62,7.49,7.15,941330.38,0.34,4.75,7.224,7.244,7.495,518685.65,582478.85,542694.89,0.94
2020-12-30,7.11,7.22,7.15,7.06,385484.47,0.03,0.42,7.156,7.259,7.541,451876.77,530731.82,520035.63,0.39
2020-12-29,7.08,7.23,7.12,7.08,379028.62,-0.01,-0.14,7.142,7.301,7.602,492930.44,538127.17,538795.21,0.38
2020-12-28,7.13,7.17,7.13,7.06,465960.69,-0.1,-1.38,7.138,7.345,7.661,587369.43,560078.75,579279.55,0.47
2020-12-25,7.09,7.26,7.23,7.04,421624.09,0.08,1.12,7.182,7.399,7.699,655966.39,553932.55,584939.42,0.42
2020-12-24,7.09,7.23,7.15,7.01,607286.0,0.07,0.99,7.264,7.452,7.73,646272.05,561404.22,590640.59,0.61
2020-12-23,7.11,7.15,7.08,7.01,590752.81,-0.02,-0.28,7.362,7.509,7.761,609586.86,536565.62,584920.96,0.59
2020-12-22,7.3,7.34,7.1,7.09,851223.56,-0.25,-3.4,7.46,7.577,7.798,583323.89,522774.7,591143.44,0.85
2020-12-21,7.51,7.52,7.35,7.29,808945.5,-0.29,-3.8,7.552,7.644,7.838,532788.06,477473.42,572200.08,0.81
2020-12-18,7.61,7.69,7.64,7.55,373152.38,0.0,0.0,7.616,7.699,7.864,451898.7,448391.89,576771.43,0.37
2020-12-17,7.52,7.66,7.64,7.47,423860.03,0.07,0.93,7.64,7.745,7.884,476536.39,502910.94,592263.99,0.43
2020-12-16,7.56,7.66,7.57,7.4,459437.97,0.01,0.13,7.656,7.823,7.897,463544.39,509339.44,593211.96,0.46
2020-12-15,7.65,7.65,7.56,7.45,598544.44,-0.11,-1.43,7.694,7.903,7.915,462225.51,539463.25,607551.3,0.6
2020-12-14,7.75,7.8,7.67,7.62,404498.69,-0.09,-1.16,7.736,7.977,7.93,422158.77,598480.36,632462.48,0.41
2020-12-11,7.76,7.88,7.76,7.68,496340.81,0.04,0.52,7.782,7.998,7.931,444885.07,615946.29,653397.36,0.5
2020-12-10,7.76,7.85,7.72,7.7,358900.03,-0.04,-0.52,7.85,8.008,7.915,529285.48,619876.96,660394.43,0.36
2020-12-09,7.8,7.88,7.76,7.73,452843.56,-0.01,-0.13,7.99,8.013,7.908,555134.49,633276.3,681543.43,0.45
2020-12-08,7.93,7.95,7.77,7.76,398210.78,-0.13,-1.65,8.112,8.018,7.903,616700.99,659512.19,712648.56,0.4
2020-12-07,8.13,8.17,7.9,7.88,518130.16,-0.2,-2.47,8.218,8.031,7.897,774801.94,666926.75,825320.85,0.52
2020-12-04,8.5,8.54,8.1,8.0,918342.88,-0.32,-3.8,8.214,8.029,7.862,787007.51,705150.98,849077.93,0.92
2020-12-03,8.39,8.47,8.42,8.3,488145.09,0.05,0.6,8.166,8.022,7.801,710468.44,681617.04,823040.71,0.49
2020-12-02,8.35,8.42,8.37,8.24,760676.06,0.07,0.84,8.036,7.97,7.721,711418.1,677084.48,818806.65,0.76
2020-12-01,7.84,8.4,8.3,7.81,1188715.5,0.42,5.33,7.924,7.926,7.638,702323.39,675639.36,795738.19,1.19
2020-11-30,7.9,8.11,7.88,7.86,579158.0,0.02,0.25,7.844,7.882,7.558,559051.56,666444.6,755432.2,0.58
2020-11-27,7.87,7.95,7.86,7.77,535647.56,0.09,1.16,7.844,7.863,7.492,623294.44,690848.44,758039.7,0.54
2020-11-26,7.85,7.87,7.77,7.7,492893.38,-0.04,-0.51,7.878,7.822,7.439,652765.64,700911.9,750509.52,0.49
2020-11-25,8.02,8.15,7.81,7.81,715202.5,-0.09,-1.14,7.904,7.802,7.396,642750.87,729810.57,745568.79,0.72
2020-11-24,7.96,8.02,7.9,7.87,472356.34,0.02,0.25,7.928,7.787,7.352,648955.33,765784.93,742722.25,0.47
2020-11-23,7.89,7.99,7.88,7.77,900372.44,-0.15,-1.87,7.92,7.762,7.309,773837.64,983714.94,737321.27,0.9
2020-11-20,7.86,8.12,8.03,7.86,683003.56,0.13,1.65,7.882,7.694,7.271,758402.44,993004.89,711116.36,0.69
2020-11-19,7.95,8.0,7.9,7.85,442819.5,-0.03,-0.38,7.766,7.58,7.233,749058.15,964464.38,694802.38,0.44
2020-11-18,7.79,7.99,7.93,7.75,746224.81,0.07,0.89,7.7,7.471,7.203,816870.26,960528.81,699237.03,0.75
2020-11-17,7.79,7.93,7.86,7.73,1096767.88,0.17,2.21,7.646,7.35,7.171,882614.52,915837.03,702890.89,1.1
2020-11-16,7.51,7.79,7.69,7.51,823196.44,0.24,3.22,7.604,7.233,7.13,1193592.25,844419.81,661870.33,0.83
2020-11-13,7.65,7.65,7.45,7.39,636282.12,-0.12,-1.58,7.506,7.121,7.098,1227607.35,825230.97,637092.28,0.64
2020-11-12,7.55,7.82,7.57,7.48,781880.06,-0.09,-1.18,7.394,7.055,7.079,1179870.61,800107.13,617919.63,0.78
2020-11-11,7.64,7.75,7.66,7.46,1074946.12,0.01,0.13,7.242,6.989,7.052,1104187.36,761327.01,596401.66,1.08
2020-11-10,7.8,7.9,7.65,7.6,2651656.5,0.45,6.25,7.054,6.917,7.023,949059.53,719659.57,569059.21,2.66
2020-11-09,6.97,7.27,7.2,6.94,993271.94,0.31,4.5,6.862,6.856,7.001,495247.37,490927.6,456827.29,1.0
2020-11-06,6.84,6.95,6.89,6.78,397598.44,0.08,1.18,6.736,6.848,7.004,422854.58,429227.83,444025.8,0.4
2020-11-05,6.78,6.82,6.81,6.71,403463.78,0.09,1.34,6.716,6.886,7.015,420343.66,425140.38,452206.53,0.4
2020-11-04,6.7,6.78,6.72,6.63,299307.0,0.03,0.45,6.736,6.935,7.029,418466.66,437945.24,450480.86,0.3
2020-11-03,6.57,6.7,6.69,6.57,382595.69,0.12,1.83,6.78,6.991,7.048,490259.6,489944.75,463918.4,0.38
2020-11-02,6.78,6.8,6.57,6.55,631308.0,-0.22,-3.24,6.85,7.027,7.072,486607.82,479320.85,468242.48,0.63
2020-10-30,6.88,6.95,6.79,6.76,385043.81,-0.12,-1.74,6.96,7.074,7.101,435601.07,448953.59,464865.45,0.39
2020-10-29,6.84,6.91,6.91,6.8,394078.81,-0.03,-0.43,7.056,7.102,7.126,429937.11,435732.12,476746.11,0.4
2020-10-28,7.04,7.04,6.94,6.83,658271.69,-0.1,-1.42,7.134,7.115,7.155,457423.82,431476.32,483274.29,0.66
2020-10-27,7.07,7.13,7.04,7.02,364336.81,-0.08,-1.12,7.202,7.129,7.187,489629.91,418458.86,502555.31,0.37
2020-10-26,7.17,7.18,7.12,7.08,376274.25,-0.15,-2.06,7.204,7.146,7.234,472033.88,422726.98,517126.16,0.38
2020-10-23,7.32,7.37,7.27,7.25,356723.97,-0.03,-0.41,7.188,7.159,7.283,462306.11,458823.78,527220.3,0.36
2020-10-22,7.24,7.35,7.3,7.17,531512.38,0.02,0.28,7.148,7.144,7.325,441527.14,479272.68,542113.64,0.53
2020-10-21,7.06,7.34,7.28,7.03,819302.12,0.23,3.26,7.096,7.123,7.364,405528.81,463016.48,583558.12,0.82
2020-10-20,7.04,7.07,7.05,7.01,276356.66,0.01,0.14,7.056,7.104,7.398,347287.81,437892.04,623236.63,0.28
2020-10-19,7.08,7.13,7.04,7.01,327635.44,-0.03,-0.42,7.088,7.117,7.419,373420.09,457164.12,628574.67,0.33
2020-10-16,7.01,7.07,7.07,7.01,252829.08,0.03,0.43,7.13,7.128,7.437,455341.44,480777.31,634156.48,0.25
2020-10-15,7.03,7.08,7.04,7.0,351520.75,-0.04,-0.56,7.14,7.149,7.457,517018.22,517760.09,673965.91,0.35
2020-10-14,7.18,7.19,7.08,7.06,528097.12,-0.13,-1.8,7.15,7.195,7.489,520504.14,535072.26,709007.27,0.53
2020-10-13,7.23,7.23,7.21,7.15,407018.06,-0.04,-0.55,7.152,7.245,7.513,528496.27,586651.77,726212.76,0.41
2020-10-12,7.12,7.27,7.25,7.06,737242.19,0.13,1.83,7.146,7.322,7.528,540908.14,611525.33,770709.47,0.74
2020-10-09,7.24,7.24,7.12,7.06,561213.0,0.03,0.42,7.126,7.407,7.537,506213.18,595616.83,781805.76,0.56
2020-09-30,7.08,7.14,7.09,7.02,368950.34,0.0,0.0,7.158,7.506,7.543,518501.96,604954.61,795249.01,0.37
2020-09-29,7.23,7.26,7.09,7.08,568057.75,-0.09,-1.25,7.24,7.604,7.548,549640.38,704099.76,794809.02,0.57
2020-09-28,7.18,7.27,7.18,7.13,469077.44,0.03,0.42,7.338,7.691,7.555,644807.27,808581.22,789016.86,0.47
2020-09-25,7.28,7.31,7.15,7.11,563767.38,-0.13,-1.79,7.498,7.72,7.558,682142.52,799985.22,795848.45,0.57
2020-09-24,7.45,7.47,7.28,7.24,622656.88,-0.22,-2.93,7.688,7.746,7.559,685020.48,787535.66,786672.48,0.63
2020-09-23,7.62,7.69,7.5,7.46,524642.44,-0.08,-1.05,7.854,7.764,7.55,691407.25,830171.73,771990.27,0.53
2020-09-22,7.84,7.85,7.58,7.56,1043892.19,-0.4,-5.01,7.968,7.782,7.529,858559.14,882942.29,775114.18,1.05
2020-09-21,8.06,8.09,7.98,7.84,655753.69,-0.12,-1.48,8.044,7.78,7.512,972355.18,865773.76,757034.05,0.66
2020-09-18,8.06,8.17,8.1,7.95,578157.19,-0.01,-0.12,7.942,7.734,7.474,917827.92,929893.62,756329.53,0.58
2020-09-17,8.05,8.15,8.11,7.96,654590.75,0.04,0.5,7.804,7.666,7.434,890050.83,967994.7,777951.18,0.66
2020-09-16,7.93,8.25,8.07,7.86,1360401.88,0.11,1.38,7.674,7.58,7.393,968936.21,985543.42,796273.29,1.37
2020-09-15,7.47,7.99,7.96,7.47,1612872.38,0.49,6.56,7.596,7.491,7.357,907325.43,885518.27,782510.44,1.62
2020-09-14,7.47,7.53,7.47,7.41,383117.38,0.06,0.81,7.516,7.418,7.321,759192.34,769452.49,728026.53,0.38
2020-09-11,7.47,7.51,7.41,7.34,439271.78,-0.05,-0.67,7.526,7.396,7.313,941959.32,791711.68,747012.16,0.44
2020-09-10,7.69,7.79,7.46,7.44,1049017.62,-0.22,-2.87,7.528,7.371,7.306,1045938.56,785809.3,751289.0,1.05
2020-09-09,7.62,7.78,7.68,7.54,1052348.0,0.12,1.59,7.486,7.336,7.297,1002150.64,713808.81,737642.76,1.06
2020-09-08,7.57,7.68,7.56,7.45,872206.94,0.04,0.53,7.386,7.276,7.281,863711.11,667286.08,776114.73,0.88
2020-09-07,7.38,7.6,7.52,7.36,1296952.25,0.1,1.35,7.32,7.243,7.257,779712.64,648294.33,779245.89,1.3
2020-09-04,7.17,7.43,7.42,7.15,959168.0,0.17,2.35,7.266,7.213,7.233,641464.04,582765.44,742950.74,0.96
2020-09-03,7.25,7.35,7.25,7.22,830078.0,0.07,0.97,7.214,7.201,7.211,525680.04,587907.66,724708.85,0.83
2020-09-02,7.27,7.27,7.18,7.11,360150.38,-0.05,-0.69,7.186,7.206,7.2,425466.99,607003.15,716490.67,0.36
2020-09-01,7.25,7.3,7.23,7.17,452214.59,-0.02,-0.28,7.166,7.223,7.187,470861.04,679502.61,728216.66,0.45
2020-08-31,7.16,7.28,7.25,7.12,605709.25,0.09,1.26,7.166,7.224,7.177,516876.02,686600.56,730378.97,0.61
2020-08-28,7.1,7.18,7.16,7.08,380248.0,0.05,0.7,7.16,7.229,7.163,524066.83,702312.65,725517.04,0.38
2020-08-27,7.08,7.12,7.11,7.02,329012.72,0.03,0.42,7.188,7.24,7.147,650135.27,716768.7,726670.45,0.33
2020-08-26,7.21,7.23,7.08,7.06,587120.62,-0.15,-2.08,7.226,7.258,7.133,788539.31,761476.7,731732.32,0.59
2020-08-25,7.29,7.37,7.23,7.21,682289.5,0.01,0.14,7.28,7.286,7.126,888144.19,884943.38,722435.45,0.68
2020-08-24,7.29,7.36,7.22,7.18,641663.31,-0.08,-1.1,7.282,7.27,7.107,856325.1,910197.45,709871.78,0.64
2020-08-21,7.3,7.45,7.3,7.14,1010590.19,0.0,0.0,7.298,7.252,7.09,880558.46,903136.04,695014.33,1.01
2020-08-20,7.35,7.54,7.3,7.27,1021032.94,-0.05,-0.68,7.292,7.22,7.073,783402.14,861510.05,673192.59,1.02
2020-08-19,7.28,7.44,7.35,7.25,1085145.0,0.11,1.52,7.29,7.193,7.068,734414.09,825978.19,651945.52,1.09
2020-08-18,7.31,7.33,7.24,7.2,523194.06,-0.06,-0.82,7.292,7.151,7.064,881742.56,776930.71,648605.42,0.53
2020-08-17,7.29,7.36,7.3,7.23,762830.12,0.03,0.41,7.258,7.13,7.06,964069.8,774157.37,650351.24,0.77
2020-08-14,7.23,7.28,7.27,7.17,524808.56,-0.02,-0.27,7.206,7.097,7.054,925713.61,748721.43,641512.22,0.53
2020-08-13,7.31,7.34,7.29,7.2,776092.69,-0.07,-0.95,7.148,7.053,7.038,939617.96,736572.19,642750.39,0.78
2020-08-12,7.1,7.38,7.36,7.09,1821787.38,0.29,4.1,7.096,7.008,7.027,917542.3,701987.95,645079.25,1.83
2020-08-11,7.13,7.27,7.07,7.03,934830.25,0.03,0.43,7.01,6.966,7.023,672118.85,559927.52,607460.04,0.94
2020-08-10,6.94,7.09,7.04,6.85,571049.19,0.06,0.86,7.002,6.943,7.031,584244.94,509546.1,609054.53,0.57
2020-08-07,7.01,7.14,6.98,6.92,594330.31,-0.05,-0.71,6.988,6.928,7.05,571729.24,486892.63,620648.52,0.6
2020-08-06,6.99,7.08,7.03,6.93,665714.38,0.1,1.44,6.958,6.926,7.066,533526.42,484875.13,639204.05,0.67
2020-08-05,7.0,7.0,6.93,6.88,594670.12,-0.1,-1.42,6.92,6.943,7.092,486433.59,477912.86,669834.88,0.6
2020-08-04,6.99,7.05,7.03,6.9,495460.72,0.06,0.86,6.922,6.977,7.121,447736.19,520280.14,713683.54,0.5
2020-08-03,6.86,6.98,6.97,6.85,508470.69,0.14,2.05,6.884,6.989,7.135,434847.26,526545.11,771631.28,0.51
2020-07-31,6.85,6.92,6.83,6.78,403316.19,-0.01,-0.15,6.868,7.01,7.158,402056.02,534303.02,824017.73,0.4
2020-07-30,6.91,6.93,6.84,6.83,430250.22,-0.1,-1.44,6.894,7.023,7.165,436223.84,548928.58,851831.1,0.43
2020-07-29,6.8,6.95,6.94,6.77,401183.12,0.1,1.46,6.966,7.045,7.168,469392.12,588170.55,891438.19,0.4
2020-07-28,6.92,6.96,6.84,6.79,431016.06,-0.05,-0.73,7.032,7.08,7.154,592824.1,654992.56,894396.63,0.43
2020-07-27,6.96,7.0,6.89,6.83,344514.5,-0.07,-1.01,7.094,7.119,7.142,618242.96,708562.95,883683.66,0.35
2020-07-24,7.18,7.23,6.96,6.95,574155.31,-0.24,-3.33,7.152,7.171,7.126,666550.01,754404.41,885105.12,0.58
2020-07-23,7.19,7.34,7.2,7.11,596091.62,-0.07,-0.96,7.152,7.206,7.11,661633.33,793532.98,868661.08,0.6
2020-07-22,7.14,7.44,7.27,7.11,1018343.0,0.12,1.68,7.124,7.241,7.081,706948.98,861756.91,853408.49,1.02
2020-07-21,7.16,7.24,7.15,7.12,558110.38,-0.03,-0.42,7.128,7.265,7.05,717161.03,907086.94,834143.82,0.56
2020-07-20,6.99,7.18,7.18,6.91,586049.75,0.22,3.16,7.144,7.281,7.028,798882.94,1016717.45,826703.71,0.59
2020-07-17,7.04,7.09,6.96,6.91,549571.88,-0.1,-1.42,7.19,7.306,7.002,842258.8,1113732.44,812888.23,0.55
2020-07-16,7.3,7.35,7.06,7.03,822669.88,-0.19,-2.62,7.26,7.306,6.985,925432.63,1154733.63,802511.79,0.83
2020-07-15,7.35,7.49,7.29,7.23,1069403.25,0.06,0.83,7.358,7.291,6.964,1016564.85,1194705.83,780981.18,1.07
2020-07-14,7.36,7.38,7.23,7.11,966719.94,-0.18,-2.43,7.402,7.227,6.926,1097012.85,1133800.7,759924.52,0.97
2020-07-13,7.26,7.44,7.41,7.22,802929.06,0.1,1.37,7.418,7.165,6.899,1234551.96,1058804.37,765218.59,0.81
2020-07-10,7.44,7.49,7.31,7.28,965441.0,-0.24,-3.18,7.422,7.08,6.868,1385206.07,1015805.84,759813.4,0.97
2020-07-09,7.51,7.56,7.55,7.4,1278331.0,0.04,0.53,7.352,7.014,6.855,1384034.62,943789.18,749710.76,1.28
2020-07-08,7.27,7.66,7.51,7.15,1471643.25,0.2,2.74,7.224,6.921,6.842,1372846.8,845060.06,742873.08,1.48
2020-07-07,7.68,7.72,7.31,7.29,1654415.5,-0.12,-1.61,7.052,6.834,6.825,1170588.56,761200.71,761834.5,1.66
2020-07-06,7.01,7.47,7.43,7.01,1556199.62,0.47,6.75,6.912,6.775,6.796,883056.77,636689.98,710963.8,1.56
2020-07-03,6.96,7.08,6.96,6.85,959583.75,0.05,0.72,6.738,6.697,6.763,646405.61,512044.03,664615.67,0.96
2020-07-02,6.64,6.98,6.91,6.61,1222391.88,0.26,3.91,6.676,6.663,6.751,503543.74,450289.95,642699.48,1.23
2020-07-01,6.6,6.65,6.65,6.55,460352.03,0.04,0.6,6.618,6.636,6.737,317273.31,367256.53,603752.87,0.46
2020-06-30,6.62,6.64,6.61,6.59,216756.58,0.05,0.76,6.616,6.625,6.728,351812.86,386048.33,597566.62,0.22
2020-06-29,6.6,6.6,6.56,6.55,372943.81,-0.09,-1.35,6.638,6.632,6.72,390323.18,471632.81,599358.24,0.37
2020-06-24,6.62,6.65,6.65,6.6,245274.42,0.03,0.45,6.656,6.656,6.714,377682.44,503820.95,600732.34,0.25
2020-06-23,6.63,6.63,6.62,6.57,291039.72,-0.02,-0.3,6.65,6.695,6.702,397036.16,555632.34,604855.75,0.29
2020-06-22,6.71,6.74,6.64,6.6,633049.75,-0.08,-1.19,6.654,6.762,6.688,417239.75,640686.1,608037.64,0.64
2020-06-19,6.66,6.75,6.72,6.63,409308.19,0.07,1.05,6.634,6.816,6.678,420283.81,762468.3,597177.46,0.41
2020-06-18,6.61,6.66,6.65,6.57,309740.12,0.03,0.45,6.626,6.816,6.671,552942.45,785237.63,592078.15,0.31
2020-06-17,6.6,6.62,6.62,6.55,342043.03,-0.02,-0.3,6.656,6.829,6.672,629959.46,817187.31,592941.86,0.34
2020-06-16,6.63,6.68,6.64,6.6,392057.66,0.1,1.53,6.74,6.839,6.678,714228.51,835109.0,602269.88,0.39
2020-06-15,6.6,6.66,6.54,6.51,648270.06,-0.14,-2.1,6.87,6.838,6.677,864132.45,840249.2,599315.28,0.65
2020-06-12,6.65,6.72,6.68,6.59,1072601.38,-0.12,-1.76,6.998,6.831,6.684,1104652.79,809084.9,582608.61,1.08
2020-06-11,6.96,6.99,6.8,6.8,694825.19,-0.24,-3.41,7.006,6.807,6.686,1017532.8,727083.66,542737.36,0.7
2020-06-10,7.32,7.33,7.04,7.0,763388.25,-0.25,-3.43,7.002,6.772,6.687,1004415.15,697643.72,519818.19,0.77
2020-06-08,7.22,7.45,7.29,7.1,1141577.38,0.11,1.53,6.938,6.709,6.677,955989.49,654079.17,504014.53,1.15
