date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,17.38,17.57,17.45,17.27,40061.29,-0.01,-0.06,17.254,17.309,17.831,34793.93,39862.73,38850.38,0.32
2021-01-04,17.15,17.64,17.46,17.0,47652.58,0.24,1.39,17.126,17.373,17.922,33448.44,39759.0,38679.8,0.38
2020-12-31,17.01,17.31,17.22,16.91,31646.66,0.18,1.06,17.052,17.433,18.032,29148.99,38417.94,37506.54,0.25
2020-12-30,17.16,17.17,17.04,16.92,21824.68,-0.06,-0.35,17.022,17.546,18.15,34121.98,38822.67,37987.82,0.17
2020-12-29,16.95,17.3,17.1,16.85,32784.44,0.29,1.73,17.158,17.642,18.266,39877.95,40471.68,39109.98,0.26
2020-12-28,17.19,17.19,16.81,16.77,33333.83,-0.28,-1.64,17.364,17.773,18.375,44931.54,40777.4,39754.31,0.27
2020-12-25,17.01,17.23,17.09,16.98,26155.33,0.02,0.12,17.62,17.913,18.47,46069.57,41396.06,39890.45,0.21
2020-12-24,17.78,17.78,17.07,16.94,56511.61,-0.65,-3.67,17.814,18.012,18.554,47686.89,43122.98,40650.56,0.45
2020-12-23,18.1,18.12,17.72,17.68,50604.52,-0.41,-2.26,18.07,18.17,18.644,43523.37,39679.87,39737.9,0.41
2020-12-22,18.09,18.5,18.13,18.0,58052.4,0.04,0.22,18.126,18.25,18.72,41065.42,40246.24,38897.26,0.47
2020-12-21,17.99,18.23,18.09,17.8,39023.99,0.03,0.17,18.182,18.352,18.793,36623.27,37838.02,37323.95,0.31
2020-12-18,18.36,18.41,18.06,18.02,34241.95,-0.29,-1.58,18.206,18.471,18.877,36722.54,37600.59,37251.46,0.27
2020-12-17,17.91,18.37,18.35,17.78,35693.97,0.35,1.94,18.21,18.631,18.95,38559.06,36595.14,36526.01,0.29
2020-12-16,18.4,18.47,18.0,17.93,38314.77,-0.41,-2.23,18.27,18.754,19.005,35836.37,37152.96,36044.8,0.31
2020-12-15,18.26,18.76,18.41,18.12,35841.67,0.2,1.1,18.374,18.89,19.076,39427.07,37748.29,35891.2,0.29
2020-12-14,18.17,18.44,18.21,17.93,39520.34,0.13,0.72,18.522,18.977,19.134,39052.78,38731.22,36206.06,0.32
2020-12-11,18.63,18.65,18.08,18.0,43424.53,-0.57,-3.06,18.736,19.027,19.216,38478.64,38384.84,35322.25,0.35
2020-12-10,18.55,18.7,18.65,18.33,22080.56,0.13,0.7,19.052,19.096,19.304,34631.23,38178.14,34493.33,0.18
2020-12-09,19.32,19.32,18.52,18.52,56268.25,-0.63,-3.29,19.238,19.117,19.367,38469.55,39795.93,34931.55,0.45
