date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,86.78,90.96,88.3,84.66,421061.12,1.2,1.38,79.51,75.42,67.846,480969.79,466075.18,426077.4,3.8
2021-01-04,81.5,87.23,87.1,81.4,474245.41,7.8,9.84,77.318,73.709,66.156,488230.17,482897.88,422697.3,4.28
2020-12-31,72.01,80.03,79.3,72.01,474049.28,6.06,8.27,75.056,71.471,64.483,490709.31,482418.04,416449.77,4.28
2020-12-30,71.2,75.45,73.24,71.2,476068.56,3.63,5.21,72.976,69.722,63.052,464189.91,477040.31,403187.64,4.3
2020-12-29,76.88,77.87,69.61,69.61,559424.56,-7.73,-9.99,71.752,68.327,61.97,470040.54,458639.34,396538.4,5.05
2020-12-28,74.81,78.85,77.34,72.65,457363.03,1.55,2.04,71.33,67.365,61.107,451180.57,434396.13,380482.17,4.13
2020-12-25,68.35,75.79,75.79,67.56,486641.12,6.89,10.0,70.1,65.711,59.856,477565.59,427513.05,374112.21,4.4
2020-12-24,67.49,70.29,68.9,65.51,341452.28,1.78,2.65,67.886,63.712,58.739,474126.76,412314.75,366536.48,3.08
2020-12-23,67.71,71.23,67.12,65.2,505321.69,-0.38,-0.56,66.468,62.446,57.899,489890.7,408264.65,366460.3,4.56
2020-12-22,71.3,72.07,67.5,67.15,465124.75,-3.69,-5.18,64.902,61.484,57.168,447238.15,404216.62,365325.43,4.2
2020-12-21,65.6,71.19,71.19,65.6,589288.12,6.47,10.0,63.4,60.272,56.513,417611.69,386079.63,361297.5,5.32
2020-12-18,61.6,66.86,64.72,61.59,469446.97,2.91,4.71,61.322,58.602,55.671,377460.5,362496.71,358992.45,4.24
2020-12-17,58.69,63.1,61.81,57.77,420271.97,2.52,4.25,59.538,57.494,55.025,350502.74,350481.51,354666.17,3.8
2020-12-16,58.9,59.59,59.29,57.47,292058.94,-0.7,-1.17,58.424,56.381,54.488,326638.61,329334.97,351969.35,2.64
2020-12-15,59.8,60.79,59.99,58.5,316992.44,-0.81,-1.33,58.066,55.613,54.099,361195.08,334437.45,359760.9,2.86
2020-12-14,55.48,61.33,60.8,54.5,388532.19,5.0,8.96,57.144,54.849,53.699,354547.56,326568.2,379969.65,3.51
2020-12-11,57.66,58.2,55.8,54.69,334658.16,-0.44,-0.78,55.882,54.001,53.241,347532.92,320711.38,403537.55,3.02
2020-12-10,56.74,57.2,56.24,54.5,300951.31,-1.26,-2.19,55.45,53.765,52.948,350460.29,320758.22,443826.14,2.72
2020-12-09,55.39,59.88,57.5,55.1,464841.31,2.12,3.83,54.338,53.351,52.446,332031.34,324655.94,458310.09,4.2
2020-12-08,54.7,56.07,55.38,54.13,283754.84,0.89,1.63,53.16,52.851,51.746,307679.82,326434.24,459334.29,2.56
2020-12-07,53.64,56.2,54.49,53.3,353459.0,0.85,1.58,52.554,52.753,51.276,298588.85,336515.37,469935.04,3.19
2020-12-04,50.45,54.75,53.64,50.18,349294.97,2.96,5.84,52.12,52.739,50.865,293889.84,355488.18,482488.93,3.15
2020-12-03,51.64,51.78,50.68,50.4,208806.56,-0.93,-1.8,52.08,52.555,50.383,291056.15,358850.83,497000.42,1.89
2020-12-02,52.66,53.6,51.61,50.0,343083.72,-0.74,-1.41,52.364,52.595,50.008,317280.55,374603.73,511188.77,3.1
2020-12-01,52.28,52.48,52.35,50.97,238299.98,0.03,0.06,52.542,52.584,49.513,345188.66,385084.34,507588.8,2.15
2020-11-30,53.5,53.79,52.32,51.66,329963.97,-1.12,-2.1,52.952,52.549,48.968,374441.89,433371.1,515033.72,2.98
2020-11-27,53.0,53.75,53.44,51.7,335126.5,1.34,2.57,53.358,52.481,48.426,417086.52,486363.71,518272.31,3.03
2020-11-26,52.4,53.21,52.1,50.43,339928.56,-0.4,-0.76,53.03,52.131,47.743,426645.5,566894.06,525602.13,3.07
2020-11-25,54.44,56.74,52.5,52.25,482624.28,-1.9,-3.49,52.826,51.541,47.208,431926.91,591964.24,552533.8,4.36
2020-11-24,54.0,55.62,54.4,53.03,384566.12,0.05,0.09,52.626,50.641,46.518,424980.03,592234.35,547835.62,3.47
2020-11-23,52.99,55.42,54.35,52.45,543187.12,2.55,4.92,52.146,49.799,45.677,492300.31,603354.71,544812.9,4.91
2020-11-20,51.15,52.48,51.8,50.86,382921.44,0.72,1.41,51.604,48.99,44.765,555640.91,609489.68,524273.32,3.46
2020-11-19,51.76,51.88,51.08,49.5,366335.59,-0.42,-0.82,51.232,48.21,43.956,707142.62,635150.01,510623.31,3.31
2020-11-18,52.34,52.88,51.5,50.29,447889.88,-0.5,-0.96,50.256,47.421,43.212,752001.56,647773.82,498137.14,4.05
2020-11-17,51.7,53.84,52.0,51.0,721167.5,0.36,0.7,48.656,46.442,42.434,759488.67,630093.25,488474.96,6.51
2020-11-16,50.39,53.14,51.64,48.51,859890.12,1.7,3.4,47.452,45.387,41.706,714409.12,596696.35,464513.81,7.77
2020-11-13,47.83,50.82,49.94,47.38,1140430.0,3.74,8.1,46.376,44.37,40.943,663338.44,550180.92,427538.7,10.3
2020-11-12,44.42,47.18,46.2,43.62,590630.31,2.7,6.21,45.188,43.354,40.245,563157.41,484310.2,378085.96,5.33
2020-11-11,45.49,46.55,43.5,43.5,485325.41,-2.48,-5.39,44.586,42.874,39.789,543546.07,513103.37,354398.18,4.38
2020-11-10,46.65,46.98,45.98,44.51,495769.75,-0.28,-0.6,44.228,42.394,39.478,500697.84,503436.9,339656.55,4.48
