date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,4.22,4.3,4.12,4.12,332879.16,-0.24,-5.5,4.116,4.047,3.842,413460.84,364613.97,260024.12,3.33
2021-01-04,4.07,4.46,4.36,4.07,503831.28,0.22,5.31,4.112,4.021,3.81,410527.63,354999.29,244497.41,5.04
2020-12-31,4.3,4.38,4.14,4.07,533228.62,-0.03,-0.72,4.07,3.963,3.767,398803.59,327436.43,220928.81,5.34
2020-12-30,3.78,4.17,4.17,3.78,408601.62,0.38,10.03,4.03,3.924,3.736,345126.56,290466.92,195925.19,4.09
2020-12-29,4.1,4.1,3.79,3.74,288763.5,-0.31,-7.56,3.992,3.885,3.706,336028.82,271848.62,177746.31,2.89
2020-12-28,4.2,4.21,4.1,4.01,318213.12,-0.05,-1.21,3.978,3.884,3.695,315767.11,282201.55,165460.62,3.18
2020-12-25,3.91,4.26,4.15,3.88,445211.09,0.21,5.33,3.93,3.847,3.668,299470.96,263237.51,151517.1,4.45
2020-12-24,3.93,4.03,3.94,3.88,264843.47,-0.04,-1.0,3.856,3.771,3.64,256069.28,224176.72,130860.45,2.65
2020-12-23,3.78,4.02,3.98,3.75,363112.94,0.26,6.99,3.818,3.724,3.626,235807.28,203895.3,120224.38,3.63
2020-12-22,3.86,3.93,3.72,3.72,187454.91,-0.14,-3.63,3.778,3.665,3.606,207668.42,170881.47,103697.93,1.88
2020-12-21,3.72,3.95,3.86,3.69,236732.38,0.08,2.12,3.79,3.637,3.6,248636.0,155434.26,95990.24,2.37
2020-12-18,3.77,3.93,3.78,3.73,228202.69,0.03,0.8,3.764,3.598,3.588,227004.05,133995.53,85963.91,2.28
2020-12-17,3.79,3.79,3.75,3.66,163533.48,-0.03,-0.79,3.686,3.57,3.577,192284.17,114421.19,75684.12,1.64
2020-12-16,3.68,3.83,3.78,3.66,222418.62,0.0,0.0,3.63,3.548,3.567,171983.32,101383.46,68684.94,2.23
2020-12-15,3.76,3.9,3.78,3.69,392292.81,0.05,1.34,3.552,3.527,3.557,134094.52,83643.99,59017.02,3.93
2020-12-14,3.37,3.73,3.73,3.36,128572.66,0.34,10.03,3.484,3.505,3.547,62232.53,48719.68,40648.97,1.29
2020-12-11,3.46,3.46,3.39,3.36,54603.26,-0.08,-2.31,3.432,3.488,3.539,40987.0,39796.7,36000.7,0.55
2020-12-10,3.4,3.55,3.47,3.39,62029.26,0.08,2.36,3.454,3.509,3.544,36558.22,37544.17,34391.33,0.62
2020-12-09,3.45,3.45,3.39,3.39,32974.63,-0.05,-1.45,3.466,3.527,3.546,30783.59,36553.46,32483.41,0.33
2020-12-08,3.47,3.49,3.44,3.42,32982.84,-0.03,-0.86,3.502,3.547,3.552,33193.46,36514.39,32318.47,0.33
2020-12-07,3.51,3.51,3.47,3.46,22345.0,-0.03,-0.86,3.526,3.563,3.557,35206.83,36546.21,32122.85,0.22
2020-12-04,3.52,3.54,3.5,3.48,32459.35,-0.03,-0.85,3.544,3.577,3.56,38606.4,37932.3,33101.96,0.32
2020-12-03,3.56,3.56,3.53,3.52,33156.14,-0.04,-1.12,3.564,3.583,3.56,38530.13,36947.04,32824.14,0.33
2020-12-02,3.56,3.6,3.57,3.52,45023.98,0.01,0.28,3.588,3.585,3.558,42323.32,35986.43,32626.12,0.45
2020-12-01,3.56,3.59,3.56,3.51,43049.67,0.0,0.0,3.592,3.587,3.551,39835.32,34390.04,31638.02,0.43
2020-11-30,3.59,3.62,3.56,3.56,39342.86,-0.04,-1.11,3.6,3.588,3.547,37885.59,32578.27,31272.02,0.39
2020-11-27,3.64,3.65,3.6,3.57,32078.0,-0.05,-1.37,3.61,3.589,3.539,37258.2,32204.69,31256.73,0.32
2020-11-26,3.58,3.66,3.65,3.57,52122.08,0.06,1.67,3.602,3.579,3.529,35363.96,31238.48,32991.31,0.52
2020-11-25,3.61,3.65,3.59,3.59,32584.0,-0.01,-0.28,3.582,3.564,3.524,29649.53,28413.37,32215.91,0.33
2020-11-24,3.59,3.62,3.6,3.58,33301.0,-0.01,-0.28,3.582,3.557,3.522,28944.75,28122.54,32933.95,0.33
2020-11-23,3.58,3.61,3.61,3.55,36205.92,0.05,1.4,3.576,3.55,3.523,27270.95,27699.5,32744.9,0.36
2020-11-20,3.55,3.58,3.56,3.52,22606.79,0.01,0.28,3.568,3.543,3.524,27151.18,28271.61,32395.16,0.23
2020-11-19,3.58,3.59,3.55,3.54,23549.95,-0.04,-1.11,3.556,3.537,3.527,27113.0,28701.24,32826.52,0.24
2020-11-18,3.59,3.6,3.59,3.56,29060.1,0.02,0.56,3.546,3.53,3.532,27177.21,29265.81,33524.69,0.29
2020-11-17,3.57,3.58,3.57,3.54,24932.0,0.0,0.0,3.532,3.515,3.535,27300.33,28886.0,35081.57,0.25
2020-11-16,3.51,3.57,3.57,3.49,35607.08,0.07,2.0,3.524,3.505,3.543,28128.05,29965.77,36191.31,0.36
2020-11-13,3.49,3.51,3.5,3.46,22415.86,0.0,0.0,3.518,3.488,3.549,29392.04,30308.76,38091.24,0.22
