date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,4.62,4.62,4.52,4.5,41126.76,-0.1,-2.17,4.55,4.572,4.611,33075.23,38921.37,35936.1,0.75
2021-01-04,4.53,4.65,4.62,4.5,38261.34,0.09,1.99,4.568,4.565,4.637,33380.33,38370.17,35820.97,0.7
2020-12-31,4.55,4.61,4.53,4.53,31526.03,0.01,0.22,4.582,4.541,4.656,34749.09,38328.3,35198.2,0.58
2020-12-30,4.56,4.62,4.52,4.5,29709.0,-0.04,-0.88,4.594,4.534,4.68,36335.97,41431.69,35258.77,0.54
2020-12-29,4.57,4.66,4.56,4.54,24753.0,-0.05,-1.08,4.616,4.535,4.707,40343.52,41017.23,34911.92,0.45
2020-12-28,4.6,4.68,4.61,4.48,42652.3,-0.08,-1.71,4.594,4.543,4.735,44767.52,41681.57,35731.52,0.78
2020-12-25,4.55,4.78,4.69,4.53,45105.13,0.1,2.18,4.562,4.544,4.759,43360.01,42590.57,35038.3,0.82
2020-12-24,4.62,4.74,4.59,4.56,39460.4,-0.04,-0.86,4.5,4.55,4.782,41907.51,40483.4,34512.27,0.72
2020-12-23,4.45,4.64,4.63,4.45,49746.76,0.18,4.04,4.474,4.573,4.812,46527.42,38853.18,34672.6,0.91
2020-12-22,4.43,4.63,4.45,4.42,46873.0,0.0,0.0,4.454,4.595,4.835,41690.94,35984.52,33256.38,0.86
2020-12-21,4.38,4.48,4.45,4.35,35614.74,0.07,1.6,4.492,4.649,4.866,38595.61,32950.82,32164.78,0.65
2020-12-18,4.45,4.49,4.38,4.36,37842.66,-0.08,-1.79,4.526,4.708,4.9,41821.14,33271.77,31402.04,0.69
2020-12-17,4.55,4.57,4.46,4.3,62559.93,-0.07,-1.54,4.6,4.771,4.937,39059.29,32068.1,30955.87,1.14
2020-12-16,4.65,4.65,4.53,4.52,25564.37,-0.11,-2.37,4.672,4.825,4.972,31178.94,29085.84,28914.02,0.47
2020-12-15,4.62,4.66,4.64,4.6,31396.37,0.02,0.43,4.736,4.879,5.003,30278.11,28806.6,29006.55,0.57
2020-12-14,4.76,4.78,4.62,4.59,51742.37,-0.13,-2.74,4.806,4.926,5.032,27306.03,29781.47,29909.94,0.95
2020-12-11,4.81,4.84,4.75,4.72,24033.4,-0.07,-1.45,4.89,4.973,5.07,24722.4,27486.04,30754.18,0.44
2020-12-10,4.88,4.91,4.82,4.79,23158.19,-0.03,-0.62,4.942,5.013,5.1,25076.92,28541.14,34625.92,0.42
2020-12-09,5.0,5.04,4.85,4.84,21060.21,-0.14,-2.81,4.978,5.05,5.115,26992.74,30492.03,36527.18,0.38
2020-12-08,4.99,5.05,4.99,4.99,16536.0,-0.05,-0.99,5.022,5.074,5.133,27335.1,30528.23,38938.65,0.3
2020-12-07,5.01,5.1,5.04,4.97,38824.19,0.03,0.6,5.046,5.083,5.142,32256.91,31378.74,44118.18,0.71
2020-12-04,5.0,5.03,5.01,4.94,25806.0,0.01,0.2,5.056,5.091,5.137,30249.67,29532.32,43307.25,0.47
2020-12-03,5.04,5.09,5.0,4.98,32737.28,-0.07,-1.38,5.084,5.102,5.132,32005.35,29843.64,43110.99,0.6
2020-12-02,5.12,5.12,5.07,5.05,22772.03,-0.04,-0.78,5.122,5.119,5.129,33991.31,28742.21,43458.65,0.42
2020-12-01,5.09,5.15,5.11,5.04,41145.05,0.02,0.39,5.126,5.127,5.113,33721.35,29206.51,43111.16,0.75
2020-11-30,5.16,5.18,5.09,5.09,28788.0,-0.06,-1.17,5.12,5.137,5.095,30500.56,30038.4,41982.55,0.53
2020-11-27,5.21,5.27,5.15,5.1,34584.4,-0.04,-0.77,5.126,5.166,5.072,28814.96,34022.32,41934.62,0.63
2020-11-26,5.12,5.19,5.19,5.1,42667.09,0.1,1.97,5.12,5.187,5.052,27681.92,40710.7,41489.86,0.78
2020-11-25,5.09,5.13,5.09,5.08,21422.23,0.01,0.2,5.116,5.179,5.036,23493.1,42562.34,40282.1,0.39
2020-11-24,5.13,5.13,5.08,5.06,25041.09,-0.04,-0.78,5.128,5.192,5.026,24691.66,47349.07,40658.79,0.46
