date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,17.18,17.33,17.03,16.92,5649.0,-0.15,-0.87,16.974,17.131,18.036,6000.74,6114.97,6147.8,0.66
2021-01-04,17.1,17.44,17.18,17.01,6813.42,0.17,1.0,16.88,17.245,18.198,6454.61,6003.92,6194.82,0.8
2020-12-31,16.81,17.15,17.01,16.78,5549.92,0.21,1.25,16.864,17.333,18.369,6100.74,5929.93,6069.72,0.65
2020-12-30,16.86,17.0,16.8,16.65,5302.35,-0.05,-0.3,16.88,17.472,18.551,6541.47,6095.54,6115.28,0.62
2020-12-29,16.51,17.08,16.85,16.5,6689.0,0.29,1.75,17.064,17.627,18.759,6612.0,6450.29,6371.59,0.78
2020-12-28,17.2,17.2,16.56,16.5,7918.35,-0.54,-3.16,17.288,17.843,18.947,6229.2,6286.19,6344.52,0.93
2020-12-25,17.07,17.38,17.1,16.99,5044.1,0.01,0.06,17.61,18.092,19.14,5553.23,5830.16,6266.83,0.59
2020-12-24,17.69,17.73,17.09,17.09,7753.56,-0.63,-3.56,17.802,18.287,19.313,5759.12,5882.9,6493.42,0.91
2020-12-23,18.03,18.15,17.72,17.7,5655.0,-0.25,-1.39,18.064,18.543,19.509,5649.61,5489.65,6992.43,0.66
2020-12-22,18.04,18.35,17.97,17.9,4775.0,-0.2,-1.1,18.19,18.736,19.643,6288.58,5599.4,7105.69,0.56
2020-12-21,18.06,18.44,18.17,17.9,4538.5,0.11,0.61,18.398,18.94,19.774,6343.18,6180.62,7173.09,0.54
2020-12-18,18.58,18.58,18.06,17.91,6073.56,-0.34,-1.85,18.574,19.151,19.904,6107.08,6385.72,7522.62,0.72
2020-12-17,18.36,18.5,18.4,17.91,7206.0,0.05,0.27,18.772,19.404,20.039,6006.67,6209.52,7548.51,0.85
2020-12-16,18.94,19.06,18.35,18.35,8849.85,-0.66,-3.47,19.022,19.63,20.16,5329.69,6135.02,7468.66,1.05
2020-12-15,19.05,19.27,19.01,18.85,5048.0,-0.04,-0.21,19.282,19.891,20.276,4910.22,6292.9,7263.82,0.6
2020-12-14,19.01,19.16,19.05,18.95,3358.0,0.0,0.0,19.482,20.051,20.354,6018.06,6402.85,7385.19,0.4
2020-12-11,19.75,19.75,19.05,19.01,5571.5,-0.6,-3.05,19.728,20.187,20.442,6664.36,6703.5,7617.04,0.66
2020-12-10,19.54,19.8,19.65,19.25,3821.1,0.0,0.0,20.036,20.338,20.529,6412.36,7103.95,7709.67,0.45
2020-12-09,20.21,20.21,19.65,19.64,6752.5,-0.36,-1.8,20.238,20.474,20.6,6940.34,8495.21,7919.11,0.8
2020-12-08,20.22,20.4,20.01,19.61,10587.2,-0.27,-1.33,20.5,20.549,20.681,7675.57,8611.98,8289.31,1.25
2020-12-07,20.66,20.66,20.28,20.28,6589.5,-0.31,-1.51,20.62,20.608,20.746,6787.63,8165.56,8666.63,0.78
2020-12-04,20.6,20.73,20.59,20.58,4311.5,-0.07,-0.34,20.646,20.657,20.794,6742.64,8659.51,9257.36,0.51
2020-12-03,21.09,21.09,20.66,20.6,6461.0,-0.3,-1.43,20.64,20.674,20.801,7795.54,8887.51,9595.64,0.76
2020-12-02,20.59,21.53,20.96,20.58,10428.65,0.35,1.7,20.71,20.689,20.814,10050.08,8802.31,9997.41,1.23
2020-12-01,20.36,20.68,20.61,20.35,6147.5,0.2,0.98,20.598,20.661,20.802,9548.39,8234.74,10257.1,0.73
2020-11-30,20.51,20.75,20.41,20.36,6364.54,-0.15,-0.73,20.596,20.656,20.841,9543.49,8367.54,10535.78,0.75
2020-11-27,21.13,21.18,20.56,20.5,9576.0,-0.45,-2.14,20.668,20.696,20.879,10576.38,8530.59,11236.53,1.13
2020-11-26,22.05,22.1,21.01,20.93,17733.7,0.61,2.99,20.708,20.719,20.898,9979.48,8315.39,12238.98,2.1
2020-11-25,20.6,20.7,20.4,20.4,7920.2,-0.2,-0.97,20.668,20.726,20.973,7554.54,7343.02,12626.88,0.94
2020-11-24,20.65,20.89,20.6,20.6,6123.0,-0.17,-0.82,20.724,20.812,21.143,6921.1,7966.65,13567.64,0.72
2020-11-23,20.79,20.89,20.77,20.35,11529.0,0.01,0.05,20.716,20.884,21.354,7191.6,9167.7,14578.64,1.36
2020-11-20,20.81,20.95,20.76,20.71,6591.5,-0.05,-0.24,20.724,20.931,21.586,6484.8,9855.22,15373.65,0.78
2020-11-19,20.68,21.0,20.81,20.4,5609.0,0.13,0.63,20.73,20.928,21.837,6651.3,10303.77,17132.34,0.66
2020-11-18,20.47,20.9,20.68,20.47,4753.0,0.12,0.58,20.784,20.939,22.05,7131.5,11192.52,19125.76,0.56
2020-11-17,20.88,20.97,20.56,20.41,7475.5,-0.25,-1.2,20.9,20.942,22.223,9012.2,12279.47,19394.46,0.88
2020-11-16,20.86,21.2,20.81,20.7,7995.0,0.02,0.1,21.052,21.025,22.419,11143.8,12704.02,19807.11,0.95
2020-11-13,21.09,21.09,20.79,20.6,7424.0,-0.29,-1.38,21.138,21.062,22.592,13225.63,13942.47,20111.66,0.88
2020-11-12,21.33,21.46,21.08,20.92,8010.0,-0.18,-0.85,21.126,21.077,22.792,13956.23,16162.56,21166.34,0.95
2020-11-11,21.39,21.67,21.26,21.02,14156.5,-0.06,-0.28,21.094,21.22,22.954,15253.53,17910.74,21277.55,1.67
2020-11-10,21.35,21.79,21.32,21.05,18133.5,0.08,0.38,20.984,21.473,23.103,15546.73,19168.64,21125.03,2.14
2020-11-09,20.95,21.45,21.24,20.85,18404.15,0.51,2.46,20.998,21.824,23.247,14264.23,19989.59,20971.77,2.18
2020-11-06,20.94,21.11,20.73,20.54,11077.0,-0.19,-0.91,20.986,22.241,23.41,14659.3,20892.08,21102.01,1.31
2020-11-05,20.88,21.09,20.92,20.7,14496.5,0.21,1.01,21.028,22.745,23.52,18368.89,23960.91,20999.33,1.71
2020-11-04,21.4,21.4,20.71,20.66,15622.5,-0.68,-3.18,21.346,23.16,23.611,20567.95,27059.01,20700.98,1.85
2020-11-03,21.04,21.52,21.39,20.82,11721.0,0.21,0.99,21.962,23.503,23.689,22790.55,26509.46,20285.15,1.39
2020-11-02,21.25,21.57,21.18,20.65,20379.5,0.24,1.15,22.65,23.812,23.736,25714.95,26910.21,20101.14,2.41
2020-10-30,22.51,22.75,20.94,20.91,29624.95,-1.57,-6.97,23.496,24.122,23.842,27124.85,26280.86,19444.19,3.5
2020-10-29,22.2,22.95,22.51,22.01,25491.78,-1.28,-5.38,24.462,24.507,23.983,29552.93,26170.11,18276.74,3.01
2020-10-28,24.82,24.82,23.79,23.6,26735.5,-1.04,-4.19,24.974,24.688,24.082,33550.07,24644.36,17357.59,3.16
2020-10-27,25.26,25.79,24.83,24.58,26343.0,-0.58,-2.28,25.044,24.733,24.098,30228.37,23081.41,16542.35,3.12
2020-10-26,25.43,25.68,25.41,25.0,27429.04,-0.36,-1.4,24.974,24.67,24.094,28105.47,21953.96,15847.04,3.24
2020-10-23,25.29,25.98,25.77,24.65,41765.34,0.7,2.79,24.748,24.579,24.037,25436.86,21311.94,14863.69,4.94
2020-10-22,24.24,25.9,25.07,24.1,45477.48,0.93,3.85,24.552,24.295,23.96,22787.3,18037.75,13133.42,5.38
2020-10-21,24.7,24.7,24.14,24.11,10127.0,-0.34,-1.39,24.402,24.061,23.904,15738.66,14342.95,11183.1,1.2
2020-10-20,24.22,24.99,24.48,23.93,15728.5,0.2,0.82,24.422,23.874,23.911,15934.46,14060.85,10980.87,1.86
2020-10-19,25.43,25.49,24.28,24.24,14086.0,-0.51,-2.06,24.366,23.659,23.912,15802.44,13292.06,10641.68,1.67
2020-10-16,24.19,25.68,24.79,24.09,28517.5,0.47,1.93,24.41,23.561,23.892,17187.02,12607.51,10482.0,3.37
2020-10-15,24.26,24.63,24.32,23.92,10234.28,0.08,0.33,24.038,23.458,23.842,13288.2,10383.36,10155.14,1.21
2020-10-14,24.36,24.65,24.24,24.15,11106.0,0.04,0.17,23.72,23.475,23.907,12947.24,10070.82,11281.53,1.31
2020-10-13,24.65,24.8,24.2,24.01,15068.41,-0.3,-1.22,23.326,23.462,23.973,12187.24,10003.28,11577.83,1.78
2020-10-12,23.09,24.58,24.5,23.09,21008.9,1.57,6.85,22.952,23.517,24.013,10781.69,9740.13,11626.09,2.48
2020-10-09,22.88,23.32,22.93,22.73,9023.4,0.2,0.88,22.712,23.495,24.025,8028.01,8415.44,11198.15,1.07
2020-09-30,22.33,23.48,22.73,22.11,8529.5,0.46,2.07,22.878,23.625,24.1,7478.53,8229.1,11460.08,1.01
2020-09-29,22.55,22.55,22.27,22.1,7306.0,-0.06,-0.27,23.23,23.747,24.214,7194.39,8023.25,11618.06,0.86
2020-09-28,23.06,23.4,22.33,22.31,8040.64,-0.97,-4.16,23.598,23.948,24.333,7819.32,7900.9,11815.19,0.96
2020-09-25,23.76,24.05,23.3,23.08,7240.5,-0.46,-1.94,24.082,24.165,24.453,8698.57,7991.3,12425.29,0.86
2020-09-24,24.3,24.36,23.76,23.75,6276.0,-0.73,-2.98,24.278,24.223,24.518,8802.87,8356.48,12896.74,0.75
2020-09-23,24.11,24.59,24.49,24.01,7108.8,0.38,1.58,24.372,24.225,24.579,8979.67,9926.93,14378.61,0.85
2020-09-22,24.71,24.88,24.11,24.01,10430.64,-0.64,-2.59,24.264,24.338,24.675,8852.11,12492.25,15553.32,1.24
2020-09-21,24.3,24.84,24.75,24.1,12436.9,0.47,1.94,24.298,24.483,24.762,7982.48,13152.38,15660.59,1.48
2020-09-18,24.39,24.4,24.28,23.88,7762.0,0.05,0.21,24.248,24.509,24.8,7284.04,13512.04,15720.12,0.93
2020-09-17,23.76,24.29,24.23,23.76,7160.0,0.28,1.17,24.168,24.554,24.831,7910.1,13980.86,15605.84,0.85
2020-09-16,24.05,24.22,23.95,23.71,6471.0,-0.33,-1.36,24.078,24.574,24.865,10874.18,14691.06,15601.02,0.77
2020-09-15,24.49,24.87,24.28,24.04,6082.5,-0.22,-0.9,24.412,24.681,24.914,16132.38,15212.88,15849.54,0.72
2020-09-14,23.98,24.84,24.5,23.98,8944.7,0.62,2.6,24.668,24.717,24.984,18322.28,15729.49,15973.07,1.07
2020-09-11,23.3,24.3,23.88,23.26,10892.3,0.1,0.42,24.77,24.741,25.043,19740.04,16859.27,15912.66,1.3
2020-09-10,25.93,25.98,23.78,23.41,21980.42,-1.84,-7.18,24.94,24.812,25.116,20051.62,17436.99,15725.47,2.62
