date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,5.96,6.02,5.96,5.88,16716.0,0.02,0.34,5.954,5.955,6.035,22629.75,22792.46,35439.75,0.66
2021-01-04,6.0,6.01,5.94,5.89,18199.98,-0.08,-1.33,5.93,5.997,6.061,22747.07,23113.38,39832.7,0.72
2020-12-31,5.96,6.08,6.02,5.87,23456.67,0.08,1.35,5.942,6.052,6.072,22331.07,24637.58,41497.7,0.93
2020-12-30,5.81,6.08,5.94,5.81,22058.55,0.03,0.51,5.92,6.087,6.096,20872.14,27021.53,41546.86,0.87
2020-12-29,5.97,6.13,5.91,5.9,32717.56,0.07,1.2,5.926,6.1,6.128,21736.45,28176.91,42275.84,1.3
2020-12-28,5.93,5.99,5.84,5.8,17302.58,-0.16,-2.67,5.956,6.12,6.168,22955.17,29366.88,41893.06,0.69
2020-12-25,5.83,6.06,6.0,5.83,16120.01,0.09,1.52,6.064,6.118,6.219,23479.68,30370.64,41923.41,0.64
2020-12-24,5.97,6.09,5.91,5.86,16162.0,-0.06,-1.0,6.162,6.117,6.268,26944.08,32565.55,42856.21,0.64
2020-12-23,5.93,6.11,5.97,5.83,26380.09,-0.09,-1.49,6.254,6.116,6.34,33170.92,37404.5,42763.53,1.04
2020-12-22,6.38,6.41,6.06,6.06,38811.17,-0.32,-5.02,6.274,6.104,6.409,34617.37,44286.75,42607.39,1.54
2020-12-21,6.49,6.6,6.38,6.37,19925.15,-0.11,-1.7,6.284,6.114,6.468,35778.59,48087.03,41342.8,0.79
2020-12-18,6.28,6.63,6.49,6.23,33442.01,0.12,1.88,6.172,6.124,6.511,37261.59,56552.03,41478.62,1.32
2020-12-17,6.01,6.37,6.37,6.0,47296.16,0.3,4.94,6.072,6.092,6.559,38187.02,58357.81,40506.16,1.87
2020-12-16,5.93,6.18,6.07,5.93,33612.37,-0.04,-0.66,5.978,6.104,6.615,41638.08,56072.2,39913.73,1.33
2020-12-15,5.99,6.11,6.11,5.87,44617.27,0.29,4.98,5.934,6.156,6.685,53956.12,56374.76,40689.57,1.77
2020-12-14,5.93,6.01,5.82,5.79,27340.15,-0.17,-2.84,5.944,6.215,6.734,60395.47,54419.24,40452.07,1.08
2020-12-11,5.85,6.04,5.99,5.77,38069.15,0.09,1.52,6.076,6.32,6.811,75842.47,53476.18,41147.01,1.51
2020-12-10,5.67,5.97,5.9,5.56,64551.44,0.05,0.85,6.112,6.419,6.887,78528.6,53146.88,42416.26,2.56
2020-12-09,6.05,6.16,5.85,5.85,95202.59,-0.31,-5.03,6.23,6.564,6.972,70506.32,48122.56,43618.36,3.77
2020-12-08,6.35,6.43,6.16,6.16,76814.0,-0.32,-4.94,6.378,6.713,7.041,58793.41,40928.03,41959.8,3.04
2020-12-07,6.48,6.48,6.48,6.39,104575.18,0.31,5.02,6.486,6.821,7.079,48443.01,34598.57,40399.84,4.14
2020-12-04,6.18,6.24,6.17,6.17,51499.8,-0.32,-4.93,6.564,6.897,7.084,31109.88,26405.2,37831.6,2.04
2020-12-03,6.59,6.7,6.49,6.45,24440.01,-0.1,-1.52,6.726,7.025,7.114,27765.15,22654.52,38162.96,0.97
2020-12-02,6.7,6.77,6.59,6.42,36638.04,-0.11,-1.64,6.898,7.126,7.111,25738.8,23755.27,38645.05,1.45
2020-12-01,6.87,6.97,6.7,6.68,25062.0,-0.17,-2.48,7.048,7.213,7.088,23062.65,25004.37,36861.1,0.99
2020-11-30,6.99,6.99,6.87,6.85,17909.56,-0.11,-1.58,7.156,7.253,7.045,20754.14,26484.91,35703.58,0.71
2020-11-27,7.28,7.33,6.98,6.98,34776.13,-0.37,-5.03,7.23,7.301,6.98,21700.51,28817.85,35924.35,1.38
2020-11-26,7.34,7.46,7.35,7.3,14308.28,0.01,0.14,7.324,7.355,6.923,17543.89,31685.65,34720.94,0.57
2020-11-25,7.21,7.55,7.34,7.17,23257.3,0.1,1.38,7.354,7.379,6.852,21771.73,39114.16,34611.22,0.92
2020-11-24,7.23,7.33,7.24,7.09,13519.43,0.0,0.0,7.378,7.368,6.785,26946.09,42991.58,33762.17,0.54
2020-11-23,7.4,7.48,7.24,7.2,22641.43,-0.21,-2.82,7.35,7.336,6.722,32215.67,46201.1,33306.24,0.9
2020-11-20,7.55,7.63,7.45,7.32,13993.0,-0.05,-0.67,7.372,7.271,6.658,35935.18,49258.01,32489.38,0.55
2020-11-19,7.45,7.81,7.5,7.4,35447.49,0.04,0.54,7.386,7.202,6.584,45827.4,53671.4,32654.66,1.4
2020-11-18,7.1,7.46,7.46,7.01,49129.09,0.36,5.07,7.404,7.096,6.513,56456.59,53534.84,31237.34,1.95
2020-11-17,7.32,7.53,7.1,7.09,39867.34,-0.25,-3.4,7.358,6.963,6.446,59037.07,48717.83,29161.13,1.58
2020-11-16,7.45,7.78,7.35,7.31,41239.0,-0.17,-2.26,7.322,6.837,6.399,60186.54,44922.25,27415.62,1.63
2020-11-13,7.59,7.9,7.52,7.28,63454.09,-0.07,-0.92,7.17,6.658,6.338,62580.84,43030.85,25640.89,2.51
2020-11-12,7.12,7.59,7.59,7.12,88593.41,0.36,4.98,7.018,6.49,6.269,61515.39,37756.24,22810.02,3.51
2020-11-11,7.07,7.27,7.23,7.0,62031.5,0.31,4.48,6.788,6.324,6.2,50613.08,30108.28,18886.45,2.46
2020-11-10,6.58,6.92,6.92,6.35,45614.68,0.33,5.01,6.568,6.202,6.156,38398.58,24532.76,16512.2,1.81
2020-11-09,6.86,6.88,6.59,6.49,53210.51,-0.17,-2.52,6.352,6.108,6.119,29657.97,20411.38,14630.96,2.11
2020-11-06,6.5,6.76,6.76,6.46,58126.86,0.32,4.97,6.146,6.045,6.102,23480.86,15720.75,12857.58,2.3
2020-11-05,6.44,6.44,6.44,6.25,34081.87,0.31,5.06,5.962,5.966,6.068,13997.09,11637.93,10302.82,1.35
2020-11-04,6.13,6.13,6.13,6.13,959.0,0.29,4.97,5.86,5.93,6.046,9603.47,8939.84,8876.86,0.04
2020-11-03,5.84,5.84,5.84,5.84,1911.59,0.28,5.04,5.836,5.929,6.037,10666.94,9604.44,9291.11,0.08
2020-11-02,5.81,5.81,5.56,5.55,22325.0,-0.28,-4.79,5.864,5.961,6.049,11164.8,9908.99,9648.91,0.88
2020-10-30,5.99,5.99,5.84,5.74,10708.0,-0.09,-1.52,5.944,6.017,6.082,7960.63,8250.93,9851.96,0.42
2020-10-29,5.92,6.02,5.93,5.9,12113.74,-0.08,-1.33,5.97,6.048,6.107,9278.76,7863.8,9665.11,0.48
2020-10-28,6.04,6.1,6.01,5.98,6276.35,0.03,0.5,6.0,6.076,6.112,8276.21,7664.63,9256.37,0.25
2020-10-27,5.99,6.05,5.98,5.95,4400.92,0.02,0.34,6.022,6.11,6.114,8541.94,8491.64,9420.2,0.17
2020-10-26,6.0,6.04,5.96,5.9,6304.15,-0.01,-0.17,6.058,6.13,6.124,8653.17,8850.54,9438.07,0.25
2020-10-23,6.09,6.17,5.97,5.91,17298.63,-0.11,-1.81,6.09,6.159,6.135,8541.23,9994.41,9520.46,0.69
2020-10-22,6.13,6.22,6.08,6.08,7101.02,-0.04,-0.65,6.126,6.17,6.141,6448.85,8967.72,9324.82,0.28
2020-10-21,6.17,6.24,6.12,6.1,7605.0,-0.04,-0.65,6.152,6.161,6.14,7053.04,8813.87,9202.22,0.3
2020-10-20,6.11,6.19,6.16,6.07,4957.06,0.04,0.65,6.198,6.145,6.14,8441.33,8977.78,9139.07,0.2
2020-10-19,6.15,6.23,6.12,6.1,5744.43,-0.03,-0.49,6.202,6.136,6.14,9047.92,9388.82,9579.52,0.23
2020-10-16,6.18,6.25,6.15,6.13,6836.72,-0.06,-0.97,6.228,6.146,6.146,11447.59,11452.98,10201.34,0.27
2020-10-15,6.35,6.35,6.21,6.21,10122.0,-0.14,-2.21,6.214,6.165,6.136,11486.59,11466.41,10674.76,0.4
2020-10-14,6.18,6.37,6.35,6.15,14546.42,0.17,2.75,6.17,6.148,6.131,10574.7,10848.11,11259.06,0.58
2020-10-13,6.25,6.25,6.18,6.17,7990.01,-0.07,-1.12,6.092,6.118,6.129,9514.22,10348.77,11023.27,0.32
2020-10-12,6.09,6.34,6.25,6.08,17742.79,0.17,2.8,6.07,6.118,6.136,9729.73,10025.59,11079.82,0.7
2020-10-09,6.06,6.15,6.08,6.04,7031.72,0.09,1.5,6.064,6.11,6.147,11458.38,9046.52,10909.16,0.28
2020-09-30,5.93,6.15,5.99,5.92,5562.58,0.03,0.5,6.116,6.111,6.168,11446.23,9681.92,11210.04,0.22
2020-09-29,6.06,6.06,5.96,5.9,9244.02,-0.11,-1.81,6.126,6.119,6.193,11121.51,9590.57,11400.74,0.37
2020-09-28,6.11,6.2,6.07,6.05,9067.54,-0.15,-2.41,6.144,6.134,6.223,11183.31,9300.37,11583.88,0.36
2020-09-25,6.58,6.6,6.22,6.2,26386.02,-0.12,-1.89,6.166,6.143,6.248,10321.46,9770.22,11548.35,1.04
2020-09-24,6.34,6.34,6.34,6.34,6970.98,0.3,4.97,6.156,6.146,6.269,6634.66,8949.7,11097.25,0.28
2020-09-23,6.13,6.13,6.04,6.03,3939.01,-0.01,-0.17,6.106,6.107,6.276,7917.6,9883.11,11589.54,0.16
2020-09-22,6.1,6.17,6.05,6.02,9553.0,-0.13,-2.1,6.112,6.114,6.303,8059.63,11670.01,12940.51,0.38
2020-09-21,6.17,6.2,6.18,6.1,4758.28,0.01,0.16,6.124,6.14,6.347,7417.43,11697.78,13116.72,0.19
2020-09-18,6.09,6.17,6.17,6.03,7952.01,0.08,1.31,6.12,6.154,6.386,9218.98,12134.06,13463.69,0.31
2020-09-17,6.07,6.32,6.09,6.04,13385.71,0.02,0.33,6.136,6.184,6.429,11264.73,12771.8,14185.6,0.53
2020-09-16,6.12,6.12,6.07,6.01,4649.15,-0.04,-0.66,6.108,6.225,6.468,11848.62,12738.16,14075.31,0.18
2020-09-15,6.18,6.18,6.11,6.03,6342.0,-0.05,-0.81,6.116,6.266,6.51,15280.39,13210.9,14498.96,0.25
2020-09-14,6.25,6.42,6.16,6.13,13766.01,-0.09,-1.44,6.156,6.312,6.55,15978.13,13867.39,14971.53,0.55
2020-09-11,5.93,6.25,6.25,5.81,18180.8,0.3,5.04,6.188,6.353,6.588,15049.13,13326.49,15421.01,0.72
2020-09-10,6.16,6.16,5.95,5.92,16305.15,-0.16,-2.62,6.232,6.392,6.622,14278.87,13244.81,15193.08,0.65
2020-09-09,6.3,6.3,6.11,6.05,21808.0,-0.2,-3.17,6.342,6.445,6.67,13627.69,13295.97,15567.32,0.86
2020-09-08,6.32,6.38,6.31,6.22,9830.71,-0.01,-0.16,6.416,6.492,6.715,11141.41,14211.01,15575.18,0.39
2020-09-07,6.42,6.47,6.32,6.31,9121.01,-0.15,-2.32,6.468,6.554,6.749,11756.64,14535.65,16119.72,0.36
2020-09-04,6.41,6.49,6.47,6.3,14329.47,-0.03,-0.46,6.518,6.618,6.785,11603.84,14793.32,17056.39,0.57
2020-09-03,6.46,6.6,6.5,6.38,13049.25,0.02,0.31,6.552,6.673,6.818,12210.75,15599.39,17278.96,0.52
2020-09-02,6.54,6.63,6.48,6.48,9376.59,-0.09,-1.37,6.548,6.711,6.849,12964.26,15412.46,17829.85,0.37
2020-09-01,6.58,6.66,6.57,6.44,12906.86,0.0,0.0,6.568,6.753,6.886,17280.6,15787.01,18700.78,0.51
2020-08-31,6.61,6.69,6.57,6.53,8357.01,-0.07,-1.05,6.64,6.788,6.924,17314.66,16075.68,19522.98,0.33
2020-08-28,6.36,6.77,6.64,6.36,17364.02,0.16,2.47,6.718,6.822,6.966,17982.8,17515.53,21077.58,0.69
2020-08-27,6.55,6.58,6.48,6.27,16816.82,-0.1,-1.52,6.794,6.851,7.007,18988.04,17141.34,21850.63,0.67
2020-08-26,6.9,6.93,6.58,6.58,30958.31,-0.35,-5.05,6.874,6.894,7.059,17860.65,17838.67,22554.6,1.23
2020-08-25,6.96,7.07,6.93,6.9,13077.14,-0.03,-0.43,6.938,6.937,7.089,14293.42,16939.36,21872.52,0.52
2020-08-24,7.02,7.07,6.96,6.93,11697.72,-0.06,-0.85,6.936,6.944,7.096,14836.7,17703.79,22140.06,0.46
2020-08-21,6.94,7.21,7.02,6.9,22390.22,0.14,2.04,6.926,6.951,7.102,17048.25,19319.46,22397.08,0.89
2020-08-20,6.9,6.95,6.88,6.83,11179.86,-0.02,-0.29,6.908,6.963,7.11,15294.64,18958.52,23120.63,0.44
2020-08-19,6.92,6.92,6.9,6.87,13122.17,-0.02,-0.29,6.914,6.987,7.143,17816.68,20247.24,24190.68,0.52
2020-08-18,6.9,6.98,6.92,6.86,15793.54,0.01,0.14,6.936,7.018,7.171,19585.3,21614.54,26470.32,0.63
2020-08-17,6.9,6.95,6.91,6.87,22755.47,-0.02,-0.29,6.952,7.06,7.217,20570.88,22970.29,27704.25,0.9
2020-08-14,6.91,6.97,6.93,6.82,13622.18,0.02,0.29,6.976,7.109,7.257,21590.67,24639.64,28998.54,0.54
2020-08-13,7.01,7.02,6.91,6.82,23790.05,-0.1,-1.43,7.018,7.162,7.292,22622.39,26559.91,32002.18,0.94
