date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,53.75,56.44,55.49,53.21,27482.17,1.56,2.89,52.96,52.661,53.829,20873.83,24207.59,20764.85,9.66
2021-01-04,53.06,54.55,53.93,53.0,22233.65,1.04,1.97,52.364,52.322,54.096,20882.08,22900.08,20372.84,7.81
2020-12-31,51.0,53.49,52.89,50.66,22003.44,1.8,3.52,51.746,52.067,54.508,19423.4,22601.54,20677.38,7.73
2020-12-30,51.93,51.93,51.09,50.14,15763.26,-0.31,-0.6,51.304,52.115,55.016,19044.94,22073.13,22300.09,5.54
2020-12-29,51.8,52.32,51.4,50.86,16886.61,-1.11,-2.11,51.666,52.262,55.43,21608.42,22677.17,22480.68,5.93
2020-12-28,51.0,54.47,52.51,50.9,27523.45,1.67,3.29,52.362,52.633,55.79,27541.35,22104.25,22535.18,9.67
2020-12-25,50.0,51.87,50.84,50.0,14940.23,0.16,0.32,52.28,52.924,56.078,24918.09,20775.32,22103.26,5.25
2020-12-24,52.82,52.82,50.68,50.68,20111.15,-2.22,-4.2,52.388,53.324,56.407,25779.69,21569.81,22167.35,7.07
2020-12-23,54.12,54.49,52.9,52.49,28580.67,-1.98,-3.61,52.926,54.026,56.756,25101.32,21127.53,21888.58,10.04
2020-12-22,52.11,57.6,54.88,52.11,46551.25,2.78,5.34,52.858,54.52,57.044,23745.92,20149.72,21844.82,16.36
2020-12-21,51.3,52.57,52.1,50.68,14407.13,0.72,1.4,52.904,54.996,57.269,16667.16,17322.11,20737.11,5.06
2020-12-18,53.18,53.54,51.38,51.23,19248.23,-1.99,-3.73,53.568,55.869,57.717,16632.56,17845.6,21823.92,6.76
2020-12-17,52.22,53.8,53.37,52.21,16719.33,0.81,1.54,54.26,56.948,58.108,17359.94,18753.23,22033.82,5.88
2020-12-16,55.0,55.15,52.56,52.32,21803.64,-2.55,-4.63,55.126,57.916,58.494,17153.73,22527.04,22430.94,7.66
2020-12-15,55.22,55.97,55.11,54.85,11157.46,-0.31,-0.56,56.182,58.598,58.875,16553.52,22284.2,22486.46,3.92
2020-12-14,55.14,55.78,55.42,54.5,14234.15,0.58,1.06,57.088,58.947,59.203,17977.06,22966.11,23439.38,5.0
2020-12-11,57.75,58.14,54.84,54.58,22885.1,-2.86,-4.96,58.17,59.231,59.592,19058.64,23431.2,24904.89,8.04
2020-12-10,57.56,58.97,57.7,57.0,15688.3,-0.14,-0.24,59.636,59.489,59.916,20146.52,22764.89,24915.41,5.51
2020-12-09,59.5,59.89,57.84,57.68,18802.57,-1.8,-3.02,60.706,59.486,60.013,27900.35,22649.63,25377.05,6.61
2020-12-08,60.4,61.3,59.64,59.21,18275.17,-1.19,-1.96,61.014,59.567,60.157,28014.88,23539.93,25703.07,6.42
2020-12-07,61.76,62.68,60.83,60.6,19642.05,-1.34,-2.15,60.806,59.542,60.313,27955.16,24152.11,26269.26,6.9
2020-12-04,61.6,63.04,62.17,61.3,28324.5,-0.88,-1.4,60.292,59.564,60.507,27803.77,25802.24,26893.14,9.95
2020-12-03,59.3,64.9,63.05,59.19,54457.46,3.67,6.18,59.342,59.268,60.556,25383.27,25314.41,27055.88,19.14
2020-12-02,58.32,59.38,59.38,58.21,19375.21,0.78,1.33,58.266,59.071,60.668,17398.9,22334.84,26307.01,6.81
2020-12-01,58.06,59.47,58.6,58.02,17976.58,0.34,0.58,58.12,59.152,60.856,19064.98,22688.72,27075.36,6.32
2020-11-30,56.89,59.3,58.26,56.88,18885.09,0.84,1.46,58.278,59.458,61.13,20349.06,23912.64,27576.81,6.64
2020-11-27,58.68,58.85,57.42,56.4,16222.0,-0.25,-0.43,58.836,59.952,61.418,23800.71,26378.57,28181.16,5.7
2020-11-26,57.99,59.27,57.67,57.5,14535.64,-0.98,-1.67,59.194,60.343,61.68,25245.55,27065.93,30901.88,5.11
2020-11-25,59.7,59.9,58.65,57.01,27705.6,-0.74,-1.25,59.876,60.539,62.352,27270.77,28104.48,32990.91,9.74
2020-11-24,60.49,60.88,59.39,59.3,24396.96,-1.66,-2.72,60.184,60.747,63.057,26312.45,27866.22,33702.42,8.57
2020-11-23,59.56,62.24,61.05,59.28,36143.35,1.84,3.11,60.638,61.084,63.738,27476.23,28386.41,34700.53,12.7
2020-11-20,60.23,60.6,59.21,59.01,23446.19,-1.87,-3.06,61.068,61.45,64.38,28956.44,27984.03,35859.93,8.24
2020-11-19,60.2,61.78,61.08,59.01,24661.77,0.89,1.48,61.492,61.843,64.925,28886.3,28797.36,37399.62,8.67
2020-11-18,61.03,61.44,60.19,59.8,22914.0,-1.47,-2.38,61.202,62.264,65.418,28938.18,30279.18,39423.44,8.05
2020-11-17,63.01,63.35,61.66,60.5,30215.83,-1.54,-2.44,61.31,62.56,66.184,29419.98,31462.01,42658.88,10.62
2020-11-16,62.53,65.0,63.2,62.06,43544.39,1.87,3.05,61.53,62.801,66.941,29296.6,31240.98,45286.22,15.3
2020-11-13,59.64,61.88,61.33,59.64,23095.53,1.7,2.85,61.832,62.883,67.486,27011.63,29983.75,47814.04,8.12
2020-11-12,60.61,61.0,59.63,58.58,24921.17,-1.1,-1.81,62.194,63.017,68.204,28708.41,34737.82,51637.71,8.76
2020-11-11,62.72,63.18,60.73,60.41,25322.99,-2.03,-3.23,63.326,64.164,69.185,31620.18,37877.34,57330.28,8.9
2020-11-10,64.5,65.01,62.76,62.21,29598.9,-1.95,-3.01,63.81,65.367,69.803,33504.03,39538.61,62347.35,10.4
2020-11-09,63.54,65.35,64.71,62.92,32119.57,1.57,2.49,64.072,66.392,70.03,33185.37,41014.65,64396.71,11.29
2020-11-06,65.45,65.66,63.14,62.23,31579.42,-2.15,-3.29,63.934,67.31,70.119,32955.86,43735.82,66702.05,11.1
2020-11-05,63.88,65.49,65.29,63.21,39480.04,2.14,3.39,63.84,68.006,70.179,40767.24,46001.89,69047.96,13.88
2020-11-04,64.08,65.18,63.15,61.5,34742.24,-0.92,-1.44,65.002,68.572,69.829,44134.5,48567.7,69756.76,12.21
2020-11-03,64.02,64.87,64.07,63.04,28005.57,0.05,0.08,66.924,69.807,69.591,45573.19,53855.76,71216.22,9.84
2020-11-02,62.99,64.2,64.02,62.35,30972.04,1.35,2.15,68.712,71.081,69.48,48843.93,59331.46,74106.32,10.88
2020-10-30,70.92,70.92,62.67,61.05,70636.3,-8.43,-11.86,70.686,72.088,69.679,54515.78,65644.34,79298.82,24.82
2020-10-29,71.5,74.86,71.1,70.85,56316.35,-1.66,-2.28,72.172,73.391,70.265,51236.54,68537.59,81742.27,19.79
2020-10-28,73.1,74.1,72.76,71.85,41935.71,-0.25,-0.34,72.142,74.206,69.81,53000.9,76783.22,82437.91,14.74
2020-10-27,72.8,73.88,73.01,70.58,44359.27,-0.88,-1.19,72.69,74.238,69.243,62138.32,85156.09,84158.9,15.59
2020-10-26,70.18,74.98,73.89,69.19,59331.26,3.79,5.41,73.45,73.667,68.608,69818.98,87778.76,85105.06,20.85
2020-10-23,71.85,73.5,70.1,68.7,54240.09,-0.85,-1.2,73.49,72.928,67.767,76772.9,89668.28,85296.95,19.06
2020-10-22,73.01,75.38,70.95,70.51,65138.16,-4.55,-6.03,74.61,72.352,67.248,85838.65,92094.03,88840.69,22.89
2020-10-21,76.66,79.3,75.5,73.0,87622.82,-1.31,-1.71,76.27,71.086,66.843,100565.54,90945.82,91154.4,30.79
2020-10-20,71.09,77.56,76.81,71.07,82762.59,2.72,3.67,75.786,69.375,65.965,108173.86,88576.67,91636.54,29.09
2020-10-19,76.01,83.0,74.09,74.0,94100.85,-1.61,-2.13,73.884,67.879,64.984,105738.54,88881.18,91739.2,33.07
2020-10-16,76.28,78.99,75.7,73.81,99568.84,-3.55,-4.48,72.366,67.269,64.039,102563.65,92953.31,91012.01,34.99
2020-10-15,71.5,85.85,79.25,69.0,138772.58,6.17,8.44,70.094,67.139,62.665,98349.41,94946.94,88007.49,48.77
2020-10-14,66.5,80.01,73.08,66.46,125664.42,5.78,8.59,65.902,65.414,61.19,81326.11,88092.61,83550.64,44.16
2020-10-13,66.33,68.95,67.3,65.16,70586.0,0.8,1.2,62.964,64.248,60.226,68979.49,83161.72,79522.63,24.81
2020-10-12,65.06,67.95,66.5,65.01,78226.41,2.16,3.36,61.874,63.548,59.651,72023.83,82431.36,78472.66,27.49
2020-10-09,59.84,66.41,64.34,59.21,78497.64,6.05,10.38,62.172,62.605,59.22,83342.96,80925.63,77224.57,27.59
2020-09-30,57.81,60.95,58.29,57.81,53656.07,-0.1,-0.17,64.184,62.143,58.932,91544.46,85587.35,76408.98,18.86
2020-09-29,62.56,63.06,58.39,58.22,63931.34,-3.46,-5.59,64.926,62.6,59.071,94859.11,91362.98,76681.41,22.47
2020-09-28,66.01,66.88,61.85,60.1,85807.68,-6.14,-9.03,65.532,62.554,59.259,97343.95,94696.4,77712.14,30.16
2020-09-25,76.92,78.9,67.99,66.9,134822.08,-6.41,-8.62,65.222,62.089,59.576,92838.88,94597.23,76986.2,47.38
2020-09-24,62.35,74.4,74.4,61.85,119505.14,12.4,20.0,63.038,60.808,59.577,78508.29,89070.71,75314.22,42.0
2020-09-23,61.43,64.0,62.0,60.28,70229.3,0.58,0.94,60.102,58.19,59.427,79630.23,81068.04,75158.6,24.68
