date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-01-05,9.35,9.61,9.41,9.31,393694.25,-0.05,-0.53,9.136,9.138,9.426,276839.5,253062.11,228429.43,3.42
2021-01-04,9.0,9.78,9.46,9.0,533456.06,0.49,5.46,9.03,9.155,9.469,238237.28,239351.85,228960.19,4.64
2020-12-31,8.87,9.0,8.97,8.86,144437.59,0.07,0.79,8.956,9.174,9.5,178392.02,204195.34,213447.97,1.26
2020-12-30,8.96,9.02,8.9,8.85,160971.72,-0.04,-0.45,9.002,9.234,9.558,190034.31,209678.83,224639.74,1.4
2020-12-29,8.88,9.03,8.94,8.8,151637.86,0.06,0.68,9.058,9.306,9.617,217241.99,210161.35,230238.63,1.32
2020-12-28,9.08,9.08,8.88,8.87,200683.16,-0.21,-2.31,9.14,9.37,9.669,229284.73,211725.09,233171.62,1.74
2020-12-25,9.11,9.12,9.09,8.87,234229.77,-0.11,-1.2,9.28,9.46,9.722,240466.43,208308.94,236067.72,2.04
2020-12-24,9.18,9.35,9.2,9.13,202649.02,0.02,0.22,9.392,9.518,9.771,229998.66,203116.48,237591.29,1.76
2020-12-23,9.36,9.39,9.18,9.08,297010.12,-0.17,-1.82,9.466,9.564,9.81,229323.36,203804.08,237329.33,2.58
2020-12-22,9.52,9.55,9.35,9.35,211851.59,-0.23,-2.4,9.554,9.632,9.844,203080.72,201604.71,231063.95,1.84
2020-12-21,9.45,9.73,9.58,9.31,256591.64,-0.07,-0.72,9.6,9.714,9.879,194165.44,203796.74,237013.49,2.23
2020-12-18,9.58,9.73,9.65,9.48,181890.92,0.08,0.84,9.64,9.782,9.893,176151.45,218568.52,236442.79,1.58
2020-12-17,9.56,9.61,9.57,9.4,199272.52,-0.05,-0.52,9.644,9.825,9.909,176234.3,222700.6,236922.99,1.73
2020-12-16,9.57,9.73,9.62,9.51,165796.94,0.04,0.42,9.662,9.882,9.932,178284.8,239600.64,244722.63,1.44
2020-12-15,9.74,9.78,9.58,9.58,167275.2,-0.2,-2.04,9.71,9.927,9.941,200128.69,250315.9,245025.66,1.45
2020-12-14,9.72,9.85,9.78,9.71,166521.67,0.11,1.14,9.828,9.967,9.952,213428.04,254618.15,250394.34,1.45
2020-12-11,9.63,9.77,9.67,9.53,182305.16,0.01,0.1,9.924,9.984,9.946,260985.58,263826.51,250340.64,1.58
2020-12-10,9.82,9.83,9.66,9.65,209525.02,-0.2,-2.03,10.006,10.024,9.94,269166.91,272066.09,246534.53,1.82
2020-12-09,10.14,10.15,9.86,9.82,275016.41,-0.31,-3.05,10.102,10.055,9.936,300916.48,270854.58,243608.7,2.39
2020-12-08,10.24,10.27,10.17,10.08,233771.95,-0.09,-0.88,10.144,10.055,9.918,300503.1,260523.2,238271.23,2.03
2020-12-07,10.07,10.34,10.26,10.03,404309.38,0.18,1.79,10.106,10.044,9.895,295808.26,270230.24,234647.2,3.51
2020-12-04,10.1,10.21,10.08,10.04,223211.77,-0.06,-0.59,10.044,10.004,9.873,266667.43,254317.07,225570.87,1.94
2020-12-03,10.04,10.18,10.14,9.88,368272.88,0.07,0.69,10.042,9.992,9.849,274965.28,251145.37,222405.65,3.2
2020-12-02,9.98,10.15,10.07,9.95,272949.53,0.09,0.9,10.008,9.981,9.824,240792.69,249844.62,213376.98,2.37
2020-12-01,9.9,10.07,9.98,9.8,210297.72,0.03,0.3,9.966,9.954,9.798,220543.3,239735.42,206260.93,1.83
2020-11-30,10.07,10.13,9.95,9.94,258605.23,-0.12,-1.19,9.982,9.936,9.778,244652.21,246170.52,203872.54,2.25
2020-11-27,9.95,10.11,10.07,9.92,264701.03,0.1,1.0,9.964,9.908,9.751,241966.71,236854.77,200035.95,2.3
2020-11-26,9.85,10.08,9.97,9.83,197409.94,0.11,1.12,9.942,9.855,9.726,227325.47,221002.97,197056.39,1.72
2020-11-25,10.05,10.07,9.86,9.86,171702.56,-0.2,-1.99,9.954,9.817,9.716,258896.54,216362.82,196038.95,1.49
2020-11-24,9.84,10.15,10.06,9.81,330842.31,0.2,2.03,9.942,9.781,9.719,258927.55,216019.26,195009.25,2.87
2020-11-23,9.96,9.96,9.86,9.78,245177.72,-0.1,-1.0,9.89,9.746,9.709,247688.83,199064.17,184506.48,2.13
2020-11-20,9.98,9.98,9.96,9.86,191494.81,-0.07,-0.7,9.852,9.741,9.711,231742.82,196824.68,180181.0,1.66
2020-11-19,9.8,10.14,10.03,9.73,355265.31,0.23,2.35,9.768,9.706,9.714,214680.47,193665.93,182298.53,3.09
2020-11-18,9.76,9.91,9.8,9.74,171857.58,0.0,0.0,9.68,9.667,9.708,173829.1,176909.34,175671.22,1.49
2020-11-17,9.68,9.93,9.8,9.62,274648.75,0.13,1.34,9.62,9.641,9.724,173110.98,172786.44,177549.4,2.39
2020-11-16,9.55,9.72,9.67,9.54,165447.66,0.13,1.36,9.602,9.619,9.753,150439.5,161574.56,175945.59,1.44
2020-11-13,9.55,9.59,9.54,9.46,106183.04,-0.05,-0.52,9.63,9.593,9.778,161906.53,163217.14,177543.65,0.92
2020-11-12,9.51,9.74,9.59,9.47,151008.48,0.09,0.95,9.644,9.597,9.818,172651.38,173109.8,181587.45,1.31
2020-11-11,9.71,9.79,9.5,9.5,168266.95,-0.21,-2.16,9.654,9.614,9.861,179989.57,175715.07,191465.03,1.46
